customer_id,customer_name,gender,age_group,membership_tier,registration_date,preferred_store_id,customer_taxonomies,total_purchases,total_spend,avg_basket_size,purchase_frequency,days_since_last_purchase,unique_products,unique_stores,avg_qty_per_txn,promo_sensitivity
CUS-00001,โรสชา น้ำทิพย์,M,65+,silver,2021-05-10,STR-010,M > 65+ > silver,96,52853.94,550.56,1.17,35,63,10,3.21,0.1771
CUS-00002,ฐิตาพร ตวงทอง,F,36-45,silver,2024-02-26,STR-002,F > 36-45 > silver,82,38673.39,471.63,1.17,78,56,10,3.18,0.2073
CUS-00003,คำมั่น นิลสลัว,F,36-45,bronze,2024-09-16,STR-008,F > 36-45 > bronze,62,24823.24,400.37,1.15,28,45,10,3.19,0.1774
CUS-00004,ภัทรนาฎ ถนัดพิมพการ,M,36-45,silver,2025-02-26,STR-003,M > 36-45 > silver,101,47958.67,474.84,1.2,47,63,10,2.88,0.1683
CUS-00005,วัลยา ตันยา,M,65+,silver,2023-01-11,STR-010,M > 65+ > silver,94,38388.6,408.39,1.18,26,61,10,2.73,0.2021
CUS-00006,ศุภาศิล ถนัดการเขียน,F,56-65,gold,2025-03-19,STR-007,F > 56-65 > gold,148,65036.65,439.44,1.2,34,75,10,2.95,0.1486
CUS-00007,ธัญญามาศ ยะผา,F,56-65,bronze,2022-10-02,STR-002,F > 56-65 > bronze,44,18749.03,426.11,1.13,71,31,10,2.93,0.1818
CUS-00008,นพ ทรัพย์สาร,M,46-55,bronze,2025-03-18,STR-010,M > 46-55 > bronze,54,21221.17,392.98,1.1,49,45,10,3.09,0.1667
CUS-00009,ประเสริฐ นิลเสนา,F,46-55,bronze,2025-07-17,STR-006,F > 46-55 > bronze,48,20919.57,435.82,1.02,81,39,10,2.79,0.25
CUS-00010,ปิยนาฎ สุวรรณหงษ์,M,26-35,bronze,2022-11-24,STR-006,M > 26-35 > bronze,54,19789.36,366.47,1.06,66,44,10,2.54,0.1481
CUS-00011,ดวงสมร นิติสาขา,M,56-65,gold,2023-02-05,STR-009,M > 56-65 > gold,139,62038.83,446.32,1.26,106,75,10,3.17,0.2014
CUS-00012,จักรีรัตน์ บุญญาไลย์,M,26-35,bronze,2024-07-22,STR-008,M > 26-35 > bronze,52,22719.2,436.91,1.16,32,40,10,2.81,0.1346
CUS-00013,นพ ไทยแท้,F,26-35,silver,2025-07-03,STR-008,F > 26-35 > silver,102,38925.11,381.62,1.19,55,67,10,3.02,0.2353
CUS-00014,ภูมิปัญญา สังข์กรด,F,18-25,bronze,2024-07-14,STR-004,F > 18-25 > bronze,58,19609.79,338.1,1.14,141,42,10,2.64,0.1724
